id,start_pos,end_pos,surface,type,value,has_nested,is_nested
0,110,118,sacristy,LOC,Q660876,,
0,123,144,library of S. Lorenzo,LOC,Q573881,True,
0,134,144,S. Lorenzo,LOC,Q573881,,True
0,233,245,Michelagnolo,PER,Q5592;NIL,,
0,474,491,Madonna di Loreto,LOC,Q654996,True,
0,485,491,Loreto,LOC,Q124110,,True
0,532,537,Frate,PER,Q27040;Q548320,,
0,980,989,S. Cosimo,PER,Q11841156,,
0,996,1006,S. Damiano,PER,Q11841130,,
0,1084,1094,S. Damiano,PER,Q11841130,,
0,1144,1149,Frate,PER,Q27040;Q548320,,
0,1154,1163,S. Cosimo,PER,Q11841156,,
0,2180,2190,S. Lorenzo,LOC,Q573881,,
0,2254,2266,Pope Clement,PER,Q83159,,
0,2336,2341,Frate,PER,Q27040;Q548320,,
1,7,37,Michele d'Agnolo of Poggibonzi,PER,NIL,True,
1,502,512,Montorsoli,LOC,Q3862501,,
1,1218,1227,S. Pietro,LOC,Q12512,,
1,1733,1752,M. Raffaello Maffei,PER,Q3417362,,
2,82,97,Niccola of Pisa,PER,Q364413,True,
2,133,138,Siena,LOC,Q2751,,
2,399,412,three Consuls,ORG,Q736727,,
2,445,456,Fontebranda,LOC,Q3747505,,
2,512,521,Consulate,LOC,Q736727,,
2,527,540,Customs-house,LOC,Q218653,,
2,881,896,Niccola of Pisa,PER,Q364413,True,
3,100,119,Vescovado of Arezzo,LOC,Q314932,,
3,704,708,Nine,ORG,Q736727,,
3,753,775,Palace in Malborghetto,LOC,Q1190961,True,
3,890,895,Siena,LOC,Q2751,,
3,983,988,State,ORG,Q736727,,
3,1335,1351,Porta S. Martino,LOC,Q2104857,,
3,1377,1389,Porta a Tufi,LOC,Q3908860,,
3,1417,1443,Porta di S. Agata all'Arco,LOC,Q3908860,,
3,1504,1510,Agnolo,PER,Q374428;NIL,,
3,1532,1566,Church and Convent of S. Francesco,LOC,Q810074,,
3,1795,1803,S. Maria,LOC,Q10924,,
4,180,214,Michelagnolo di Viviano of Gaiuole,PER,Q3856430,True,
4,196,214,Viviano of Gaiuole,PER,Q15614943,True,True
4,207,214,Gaiuole,LOC,Q91199,,True
4,749,755,Medici,ORG,Q170022,,
4,864,882,Piazza di S. Croce,LOC,Q51177,,
4,1377,1383,Medici,ORG,Q170022,,
5,81,110,Chamber of Our Lady at Loreto,LOC,Q654996,True,
5,144,186,Maestro Andrea Contucci of Monte Sansovino,PER,Q495011,True,
5,171,186,Monte Sansovino,LOC,Q52086,,True
5,542,573,house of the Medici in Florence,LOC,Q911047,True,
5,555,561,Medici,ORG,Q170022,,True
5,601,606,David,PER,Q41370;NIL,,
5,610,616,Donato,PER,Q37562;NIL,,
5,713,720,Signori,ORG,Q3393334,,
5,1169,1177,Our Lady,PER,Q345,,True
6,1136,1151,Ser Brunellesco,PER,NIL,,True
6,1215,1222,Rabatta,LOC,NIL,,True
6,1313,1319,Heaven,LOC,Q4489450,,
6,1639,1645,Heaven,LOC,Q4489450,,
6,2004,2010,Heaven,LOC,Q4489450,,
7,164,174,Lippo Lapi,PER,NIL,,True
7,424,429,Spini,ORG,NIL,,
7,578,597,S. Michele Berteldi,LOC,NIL,,
7,1950,1970,S. Jacopo in Pistoia,LOC,Q2557858,True,
8,11,28,siege of Florence,MISC,Q981042,True,
8,493,507,Porta a Faenza,LOC,Q3908872,,
8,716,762,garden of the Medici on the Piazza di S. Marco,LOC,Q3763928,True,
8,730,736,Medici,ORG,Q170022,,True
8,744,762,Piazza di S. Marco,LOC,Q3382259,,True
8,2017,2033,S. Maria Novella,LOC,Q51175,,
9,29,53,Cardinal Innocenzio Cibo,PER,Q1386991,,
9,149,175,Cardinal Giulio de' Medici,PER,Q83159,,
9,259,272,Cardinal Cibo,PER,Q1386991,,
9,517,539,villa of Baccio Valori,LOC,NIL,True,
9,544,559,Olmo a Castello,LOC,Q2163936,,
10,1036,1041,Siren,PER,Q150986,,
10,1145,1151,Sebeto,LOC,Q3953836,,
10,1257,1263,Heaven,LOC,Q4489450,,
10,1623,1644,Church of S. Agostino,LOC,Q779975,,
10,1756,1768,S. Augustine,PER,Q8018,,
10,1825,1831,Saints,PER,Q43115,,
11,80,87,Matrice,LOC,Q223427,,True
11,129,135,Ascoli,LOC,Q6624,,
11,393,399,Ascoli,LOC,NIL,,
11,533,539,Ascoli,LOC,Q6624,,
